year,sector_code,source_iso3,target_iso3,coercion_score,dep_target_on_source,dep_source_on_target,replaceability_target,centrality_source
2024,energy,IND,BTN,0.7700724717787507,0.9997426009960932,3.608088909262792e-08,1.0,0.850877192982456
2024,energy,IND,NPL,0.7689849958196506,0.9970239456447888,1.051737804315986e-07,1.0,0.850877192982456
2024,energy,IND,DJI,0.696590275416791,0.8160372431132016,3.021249044576984e-07,1.0,0.850877192982456
2024,energy,IND,ARE,0.5947279696107307,0.6128729201807451,0.1029831852902926,1.0,0.850877192982456
2024,energy,IND,OMN,0.5820991107428328,0.5340145706067049,0.008410780481701541,1.0,0.850877192982456
2024,energy,IND,IRQ,0.5549107963096549,0.5289471486160547,0.13421750866629148,1.0,0.850877192982456
2024,energy,IND,JOR,0.5037466226212426,0.33392798925472106,5.838568524346329e-08,1.0,0.850877192982456
2024,energy,IND,TGO,0.5018474166725826,0.32917994861165323,6.842849315575432e-09,1.0,0.850877192982456
2024,energy,IND,TZA,0.4995849623509414,0.32364549117895375,0.00024336358565636354,1.0,0.850877192982456
2024,energy,IND,MOZ,0.4837014179706782,0.2882344140443158,0.008838931217696487,1.0,0.850877192982456
2024,energy,IND,BGD,0.4785683981179056,0.2709824210224575,4.443784311145155e-08,1.0,0.850877192982456
2024,energy,IND,LKA,0.4287497404545654,0.1466101982909374,0.0003488872915038872,1.0,0.850877192982456
2024,energy,IND,MUS,0.4236609367517489,0.13371375410893535,1.7441582238312806e-08,1.0,0.850877192982456
2024,energy,IND,ZAF,0.41378616600852647,0.12012101241847896,0.022188387776781688,1.0,0.850877192982456
2024,energy,IND,UGA,0.41260274910493866,0.10606827629371725,4.519715532084169e-11,1.0,0.850877192982456
2024,energy,IND,AGO,0.4112709039941591,0.11308382622206793,0.020690325455796528,1.0,0.850877192982456
2024,energy,IND,NAM,0.4110476663152149,0.10218137312369689,1.6076537753312746e-06,1.0,0.850877192982456
2024,energy,IND,BDI,0.40866467518062777,0.09622309146034143,0.0,1.0,0.850877192982456
2024,energy,IND,BHR,0.4056795477498246,0.08929427794914672,0.0010680101316264332,1.0,0.850877192982456
2024,energy,USA,IND,0.40144349301675536,0.05569307647100425,0.01352541300443059,1.0,0.9093567251461988
2024,energy,IND,PRY,0.4000969928956873,0.07480388574799021,0.0,1.0,0.850877192982456
2024,energy,IND,KEN,0.39405295091931647,0.0596958836815497,4.20574897293241e-06,1.0,0.850877192982456
2024,energy,NLD,IND,0.3924828884737387,5.9017600231150584e-05,0.03770359283176891,1.0,1.0
2024,energy,IND,AUS,0.39200355212280413,0.07861067505830686,0.04808078248504909,1.0,0.850877192982456
2024,energy,IND,SDN,0.38952467945066116,0.04837310213542481,0.0,1.0,0.850877192982456
2024,energy,BEL,IND,0.38947959477582683,0.00020880820450927128,0.006236016798890225,1.0,0.9532163742690059
2024,energy,IND,MYS,0.38936948426477,0.05008723317767261,0.004204238013951173,1.0,0.850877192982456
2024,energy,FRA,IND,0.38930783148120796,3.997343985804902e-05,0.02137704678361787,1.0,0.9678362573099415
2024,energy,IND,SGP,0.38872152732386017,0.047818072243034505,0.0029057008492242207,1.0,0.850877192982456
2024,energy,IND,ALB,0.38866478428140894,0.04622336421229435,0.0,1.0,0.850877192982456
2024,energy,IND,URY,0.3880402764612484,0.04466209466189304,0.0,1.0,0.850877192982456
2024,energy,CHN,IND,0.3879341701866585,0.0018274503122421488,0.002580540919262275,1.0,0.9385964912280702
2024,energy,IND,NLD,0.38524507220915255,0.03770359283176891,5.9017600231150584e-05,1.0,0.850877192982456
2024,energy,IND,GIN,0.38464598821361995,0.03617641040845295,7.273126234229844e-08,1.0,0.850877192982456
2024,energy,DEU,IND,0.38379744755849865,0.0002398348041955422,0.0025450633948453324,1.0,0.9210526315789473
2024,energy,IND,QAT,0.38372349788632365,0.059433823201871586,0.0511273499545811,1.0,0.850877192982456
2024,energy,IND,SLE,0.3834313807600487,0.03313985540889374,0.0,1.0,0.850877192982456
2024,energy,IND,NER,0.38330211120584323,0.032816681523380076,0.0,1.0,0.850877192982456
2024,energy,IND,MAR,0.3812956501857467,0.027800540064520554,2.2182763831469102e-08,1.0,0.850877192982456
2024,energy,IND,ARG,0.3805031168691997,0.02590792887040275,0.00017746637726321512,1.0,0.850877192982456
2024,energy,IND,YEM,0.3797361386661101,0.02390175017404726,0.0,1.0,0.850877192982456
2024,energy,IND,GBR,0.3792878612146913,0.02292527825686086,0.00028844342272113895,1.0,0.850877192982456
2024,energy,IND,TUR,0.37898038463322614,0.023498891643436076,0.002973053103197759,1.0,0.850877192982456
2024,energy,IND,FRA,0.37871826262196673,0.02137704678361787,3.997343985804902e-05,1.0,0.850877192982456
2024,energy,RUS,IND,0.37863142295319757,0.26907805367241966,0.010496068602243374,1.0,0.3654970760233918
2024,energy,IND,ETH,0.3782746912752997,0.02024813169702129,0.0,1.0,0.850877192982456
2024,energy,IND,IRN,0.37744864569633785,0.01837844397133915,0.0003908524434448908,1.0,0.850877192982456
2024,energy,IND,PHL,0.3773711525603549,0.018010405949374874,4.224207943136995e-05,1.0,0.850877192982456
2024,energy,IND,SOM,0.37721452762630436,0.017604051622586745,1.2658096107776207e-05,1.0,0.850877192982456
2024,energy,IND,CMR,0.37702446581128524,0.018143704205607913,0.002042272337245523,1.0,0.850877192982456
