year,sector_code,source_iso3,target_iso3,coercion_score,dep_target_on_source,dep_source_on_target,replaceability_target,centrality_source
2024,machinery_hightech,IND,BTN,0.4903706657499872,0.7043422475020092,0.000593673177618097,1.0,0.04376250692353547
2024,machinery_hightech,CHN,IND,0.3882352505318167,0.4505983343371777,0.003782922938808041,1.0,0.04376250692353552
2024,machinery_hightech,IND,NPL,0.38230582704650473,0.4339224824060613,7.833650313431744e-05,1.0,0.04376250692353547
2024,machinery_hightech,IND,ASM,0.31999691148269294,0.27811102524496467,0.0,1.0,0.04376250692353547
2024,machinery_hightech,IND,MWI,0.2809786489972677,0.18056583874526072,9.394277184472677e-07,1.0,0.04376250692353547
2024,machinery_hightech,IND,MDV,0.27597146405357126,0.16828966641840704,0.0004845194924932615,1.0,0.04376250692353547
2024,machinery_hightech,IND,LKA,0.26789363791168214,0.1483852167559493,0.0010647508770232719,1.0,0.04376250692353547
2024,machinery_hightech,IND,CYM,0.259634788853616,0.1274432037114975,0.0004749700784501773,1.0,0.04376250692353547
2024,machinery_hightech,IND,UGA,0.25946151310510934,0.12677376261534387,2.4666286763257016e-06,1.0,0.04376250692353547
2024,machinery_hightech,IND,SOM,0.25092002654491874,0.1054274340717463,1.7242342434344117e-05,1.0,0.04376250692353547
2024,machinery_hightech,IND,BGD,0.24712025760193485,0.0961611503613661,0.0004835196365935314,1.0,0.04376250692353547
2024,machinery_hightech,IND,GMB,0.24651699142293343,0.0944177319364079,1.3013681684154703e-05,1.0,0.04376250692353547
2024,machinery_hightech,IND,OMN,0.24466905316693563,0.09042355128535787,0.0012643436595731763,1.0,0.04376250692353547
2024,machinery_hightech,IND,KWT,0.24391761013767793,0.08982627780966887,0.0038270118544836795,1.0,0.04376250692353547
2024,machinery_hightech,IND,TZA,0.2431850481356607,0.08608768461974556,1.2635484723260433e-05,1.0,0.04376250692353547
2024,machinery_hightech,IND,KEN,0.24306710828386088,0.08578920643861193,5.37838145492223e-06,1.0,0.04376250692353547
